SERVIÇO,CID,ATENDIMENTOS,n pacientes,reinternacoes,obitos,mortalidade,estada,estadas prolongadas,taxa de eventos adversos
CENTRO DE TRAUMA ADULTO,J22  INFECÇÕES AGUDAS NÃO ESPECIFICADA DAS VIAS AÉREAS INFERIORES,1,1,0,0,0.0,28.0,0,0.0
CENTRO DE TRAUMA ADULTO,J45.1  ASMA NÃO-ALÉRGICA,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,"K05.6  DOENÇA PERIODONTAL, SEM OUTRA ESPECIFICAÇÃO",1,1,0,0,0.0,19.0,0,0.0
CENTRO DE TRAUMA ADULTO,K80.5  CALCULOSE DE VIA BILIAR SEM COLANGITE OU COLECISTITE,1,1,0,0,0.0,37.0,0,0.0
CENTRO DE TRAUMA ADULTO,"L02.4  ABSCESSO CUTÂNEO, FURÚNCULO E ANTRAZ DO(S) MEMBRO(S)",1,1,0,0,0.0,40.0,0,0.0
CENTRO DE TRAUMA ADULTO,L03.0  CELULITE DE DEDOS DAS MÃOS E DOS PÉS,1,1,0,0,0.0,16.0,0,0.0
CENTRO DE TRAUMA ADULTO,L03.1  CELULITE DE OUTRAS PARTES DO(S) MEMBRO(S),1,1,0,0,0.0,11.0,0,0.0
CENTRO DE TRAUMA ADULTO,"L08.8  OUTRAS INFECÇÕES LOCALIZADAS, ESPECIFICADAS, DA PELE E DO TECIDO SUBCUTÂNEO",1,1,0,0,0.0,32.0,0,0.0
CENTRO DE TRAUMA ADULTO,L89  ÚLCERA DE DECÚBITO,1,1,0,0,0.0,19.0,0,0.0
CENTRO DE TRAUMA ADULTO,L92.3  GRANULOMA DE CORPO ESTRANHO DA PELE E DO TECIDO SUBCUTÂNEO,1,1,0,0,0.0,3.0,0,0.0
CENTRO DE TRAUMA ADULTO,"L98.4  ÚLCERA CRÔNICA DA PELE, NÃO CLASSIFICADA EM OUTRA PARTE",1,1,0,0,0.0,86.0,0,0.0
CENTRO DE TRAUMA ADULTO,M00.8  ARTRITE E POLIARTRITE DEVIDAS A OUTRO AGENTE BACTERIANO ESPECIFICADO,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,"M00.9  ARTRITE PIOGÊNICA, NÃO ESPECIFICADA",5,5,0,0,0.0,44.0,1,0.2
CENTRO DE TRAUMA ADULTO,M12.5  ARTROPATIA TRAUMÁTICA,2,2,0,0,0.0,1.5,1,0.5
CENTRO DE TRAUMA ADULTO,M13.0  POLIARTRITE NÃO ESPECIFICADA,1,1,0,0,0.0,6.0,0,0.0
CENTRO DE TRAUMA ADULTO,M15.0  (OSTEO)ARTROSE PRIMÁRIA GENERALIZADA,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M16.0  COXARTROSE PRIMÁRIA BILATERAL,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M16.1  OUTRAS COXARTROSES PRIMÁRIAS,1,1,0,0,0.0,5.0,0,0.0
CENTRO DE TRAUMA ADULTO,M16.7  OUTRAS COXARTROSES SECUNDÁRIAS,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,M19.1  ARTROSE PÓS-TRAUMÁTICA DE OUTRAS ARTICULAÇÕES,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M19.8  OUTRAS ARTROSES ESPECIFICADAS,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M20.6  DEFORMIDADE ADQUIRIDA NÃO ESPECIFICADA DE DEDO(S) DO PÉ,1,1,0,0,0.0,1.0,0,0.0
CENTRO DE TRAUMA ADULTO,M21.0  DEFORMIDADE EM VALGO NÃO CLASSIFICADA EM OUTRA PARTE,4,4,0,0,0.0,3.5,0,0.0
CENTRO DE TRAUMA ADULTO,M21.1  DEFORMIDADE EM VARO NÃO CLASSIFICADA EM OUTRA PARTE,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,M21.6  OUTRAS DEFORMIDADES ADQUIRIDAS DO TORNOZELO E DO PÉ,1,1,0,0,0.0,8.0,0,0.0
CENTRO DE TRAUMA ADULTO,M21.7  DESIGUALDADE (ADQUIRIDA) DO COMPRIMENTO DOS MEMBROS,8,8,0,0,0.0,7.0,2,0.25
CENTRO DE TRAUMA ADULTO,M21.8  OUTRAS DEFORMIDADES ADQUIRIDAS ESPECIFICADAS DOS MEMBROS,5,5,0,0,0.0,11.0,1,0.2
CENTRO DE TRAUMA ADULTO,M21.9  DEFORMIDADE ADQUIRIDA NÃO ESPECIFICADA DE MEMBRO,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M22.8  OUTROS TRANSTORNOS DA RÓTULA,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,"M22.9  TRANSTORNO DA RÓTULA, NÃO ESPECIFICADO",1,1,0,0,0.0,84.0,0,0.0
CENTRO DE TRAUMA ADULTO,M23.8  OUTROS TRANSTORNOS INTERNOS DO JOELHO,1,1,0,0,0.0,12.0,0,0.0
CENTRO DE TRAUMA ADULTO,M24.2  TRANSTORNOS DE LIGAMENTOS,1,1,0,0,0.0,3.0,0,0.0
CENTRO DE TRAUMA ADULTO,M24.5  CONTRATURA ARTICULAR,1,1,0,0,0.0,10.0,0,0.0
CENTRO DE TRAUMA ADULTO,M24.7  PROTUSÃO DO ACETÁBULO,1,1,0,0,0.0,20.0,0,0.0
CENTRO DE TRAUMA ADULTO,M25.6  RIGIDEZ ARTICULAR NÃO CLASSIFICADA EM OUTRA PARTE,8,8,0,0,0.0,2.5,2,0.25
CENTRO DE TRAUMA ADULTO,M25.8  OUTROS TRANSTORNOS ARTICULARES ESPECIFICADOS,2,2,0,0,0.0,5.5,1,0.5
CENTRO DE TRAUMA ADULTO,M36.0  DERMATO(POLI)MIOSITE EM DOENÇAS NEOPLÁSICAS (C00-D48+),1,1,0,0,0.0,8.0,0,0.0
CENTRO DE TRAUMA ADULTO,M36.1  ARTROPATIA EM DOENÇAS NEOPLÁSICAS CLASSIFICADAS (C00-D48+),1,1,0,0,0.0,48.0,0,0.0
CENTRO DE TRAUMA ADULTO,M36.3  ARTROPATIAS EM OUTRAS DOENÇAS HEMATOLÓGICAS (D50-D76+),1,1,0,0,0.0,9.0,0,0.0
CENTRO DE TRAUMA ADULTO,M50.1  TRANSTORNO DO DISCO CERVICAL COM RADICULOPATIA,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M54.1  RADICULOPATIA,1,1,0,0,0.0,100.0,0,0.0
CENTRO DE TRAUMA ADULTO,M62.9  TRANSTORNO MUSCULAR NÃO ESPECIFICADO,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M65.1  OUTRAS (TENO)SINOVITES INFECCIOSAS,1,1,0,0,0.0,10.0,0,0.0
CENTRO DE TRAUMA ADULTO,M65.9  SINOVITE E TENOSSINOVITE NÃO ESPECIFICADAS,1,1,0,0,0.0,6.0,0,0.0
CENTRO DE TRAUMA ADULTO,M72.0  FIBROMATOSE DE FÁSCIA PALMAR [DUPUYTREN],1,1,0,0,0.0,21.0,0,0.0
CENTRO DE TRAUMA ADULTO,M75.0  CAPSULITE ADESIVA DO OMBRO,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,M79.5  CORPO ESTRANHO RESIDUAL NO TECIDO MOLE,1,1,0,0,0.0,1.0,0,0.0
CENTRO DE TRAUMA ADULTO,M81.2  OSTEOPOROSE DE DESUSO,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,M82.0  OSTEOPOROSE NA MIELOMATOSE MÚLTIPLA (C90.0+),3,3,0,0,0.0,3.0,1,0.3333333333333333
CENTRO DE TRAUMA ADULTO,M84.0  DEFEITO DE CONSOLIDAÇÃO DA FRATURA,300,300,0,0,0.0,5.0,71,0.23666666666666666
CENTRO DE TRAUMA ADULTO,M84.1  AUSÊNCIA DE CONSOLIDAÇÃO DA FRATURA [PSEUDO-ARTROSE],481,481,0,0,0.0,5.0,115,0.2390852390852391
CENTRO DE TRAUMA ADULTO,M84.2  ATRASO DE CONSOLIDAÇÃO DE FRATURA,19,19,0,0,0.0,6.0,4,0.21052631578947367
CENTRO DE TRAUMA ADULTO,M84.3  FRATURA DE FADIGA (STRESS) NÃO CLASSIFICADA EM OUTRA PARTE,1,1,0,0,0.0,8.0,0,0.0
CENTRO DE TRAUMA ADULTO,M84.4  FRATURA PATOLÓGICA NÃO CLASSIFICADA EM OUTRA PARTE,6,6,0,0,0.0,12.0,2,0.3333333333333333
CENTRO DE TRAUMA ADULTO,M84.8  OUTROS TRANSTORNOS DA CONTINUIDADE DO OSSO,11,11,0,0,0.0,15.0,3,0.2727272727272727
CENTRO DE TRAUMA ADULTO,M84.9  TRANSTORNO NÃO ESPECIFICADO DA CONTINUIDADE DO OSSO,6,6,0,0,0.0,9.5,1,0.16666666666666666
CENTRO DE TRAUMA ADULTO,M86.0  OSTEOMIELITE AGUDA HEMATOGÊNICA,13,13,0,0,0.0,21.0,3,0.23076923076923078
CENTRO DE TRAUMA ADULTO,M86.1  OUTRA OSTEOMIELITE AGUDA,112,112,0,1,0.008928571428571428,40.0,26,0.24107142857142858
CENTRO DE TRAUMA ADULTO,M86.2  OSTEOMIELITE SUBAGUDA,4,4,0,0,0.0,19.5,1,0.25
CENTRO DE TRAUMA ADULTO,M86.3  OSTEOMIELITE CRÔNICA MULTIFOCAL,8,8,0,0,0.0,28.5,2,0.25
CENTRO DE TRAUMA ADULTO,M86.4  OSTEOMIELITE CRÔNICA COM SEIO DRENANTE,53,53,0,0,0.0,32.0,13,0.24528301886792453
CENTRO DE TRAUMA ADULTO,M86.5  OUTRA OSTEOMIELITE CRÔNICA HEMATOGÊNICA,3,3,0,0,0.0,34.0,1,0.3333333333333333
CENTRO DE TRAUMA ADULTO,M86.6  OUTRA OSTEOMIELITE CRÔNICA,105,105,0,1,0.009523809523809525,23.0,26,0.2571428571428571
CENTRO DE TRAUMA ADULTO,M86.8  OUTRA OSTEOMIELITE,18,18,0,0,0.0,42.0,5,0.2777777777777778
CENTRO DE TRAUMA ADULTO,M86.9  OSTEOMIELITE NÃO ESPECIFICADA,34,34,0,0,0.0,45.0,9,0.2647058823529412
CENTRO DE TRAUMA ADULTO,M87.2  OSTEONECROSE DEVIDA A TRAUMATISMO ANTERIOR,1,1,0,0,0.0,13.0,0,0.0
CENTRO DE TRAUMA ADULTO,M89.4  OUTRAS OSTEOARTROPATIAS HIPERTRÓFICAS,1,1,0,0,0.0,39.0,0,0.0
CENTRO DE TRAUMA ADULTO,M89.6  OSTEOPATIA PÓS-POLIOMIELITE,1,1,0,0,0.0,44.0,0,0.0
CENTRO DE TRAUMA ADULTO,M93.0  LUXAÇÃO (NÃO-TRAUMÁTICA) DA EPÍFISE SUPERIOR DO FÊMUR,1,1,0,0,0.0,6.0,0,0.0
CENTRO DE TRAUMA ADULTO,"M93.8  OUTRAS OSTEOCONDROPATIAS, ESPECIFICADAS",1,1,0,0,0.0,5.0,0,0.0
CENTRO DE TRAUMA ADULTO,M94.0  SÍNDROME DA JUNÇÃO CONDROCOSTAL [TIETZE],1,1,0,0,0.0,3.0,0,0.0
CENTRO DE TRAUMA ADULTO,M95.8  OUTRAS DEFORMIDADES ADQUIRIDAS ESPECIFICADAS DO SISTEMA OSTEOMUSCULAR,2,2,0,0,0.0,18.5,1,0.5
CENTRO DE TRAUMA ADULTO,M96.0  PSEUDO-ARTROSE APÓS FUSÃO OU ARTRODESE,76,76,0,0,0.0,7.0,17,0.2236842105263158
CENTRO DE TRAUMA ADULTO,M96.1  SÍNDROME PÓS-LAMINECTOMIA NÃO CLASSIFICADA EM OUTRA PARTE,1,1,0,0,0.0,5.0,0,0.0
CENTRO DE TRAUMA ADULTO,M96.3  CIFOSE PÓS-LAMINECTOMIA,1,1,0,0,0.0,9.0,0,0.0
CENTRO DE TRAUMA ADULTO,"M96.6  FRATURA DE OSSO SUBSEQUENTE A IMPLANTE ORTOPÉDICO, PRÓTESE ARTICULAR OU PLACA ÓSSEA",8,8,0,0,0.0,15.0,2,0.25
CENTRO DE TRAUMA ADULTO,M96.8  OUTROS TRANSTORNOS OSTEOMUSCULARES PÓS-PROCEDIMENTOS,127,127,0,0,0.0,6.0,29,0.2283464566929134
CENTRO DE TRAUMA ADULTO,M96.9  TRANSTORNO OSTEOMUSCULAR NÃO ESPECIFICADO PÓS-PROCEDIMENTO,4,4,0,0,0.0,14.5,1,0.25
CENTRO DE TRAUMA ADULTO,M99.9  LESÃO BIOMECÂNICA NÃO ESPECIFICADA,1,1,0,0,0.0,14.0,0,0.0
CENTRO DE TRAUMA ADULTO,N18.0  DOENÇA RENAL EM ESTÁDIO FINAL,1,1,0,0,0.0,19.0,0,0.0
CENTRO DE TRAUMA ADULTO,N30.0  CISTITE AGUDA,1,1,0,0,0.0,36.0,0,0.0
CENTRO DE TRAUMA ADULTO,N39.4  OUTRAS INCONTINÊNCIAS URINÁRIAS ESPECIFICADAS,1,1,0,0,0.0,21.0,0,0.0
CENTRO DE TRAUMA ADULTO,O71.6  LESÃO OBSTÉTRICA DAS ARTICULAÇÕES E DOS LIGAMENTOS PÉLVICOS,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,Q65.2  LUXAÇÃO CONGÊNITA NÃO ESPECIFICADA DO QUADRIL,1,1,0,0,0.0,3.0,0,0.0
CENTRO DE TRAUMA ADULTO,Q65.6  QUADRIL INSTÁVEL,2,2,0,0,0.0,8.5,1,0.5
CENTRO DE TRAUMA ADULTO,Q68.8  OUTRAS DEFORMIDADES OSTEOMUSCULARES CONGÊNITAS,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,Q71.4  DEFEITO DE REDUÇÃO LONGITUDINAL DO RÁDIO,2,2,0,0,0.0,3.5,1,0.5
CENTRO DE TRAUMA ADULTO,Q72.4  DEFEITO POR REDUÇÃO LONGITUDINAL DA TÍBIA,5,5,0,0,0.0,8.0,1,0.2
CENTRO DE TRAUMA ADULTO,Q72.5  DEFEITO POR REDUÇÃO LONGITUDINAL DA TÍBIA,3,3,0,0,0.0,12.0,1,0.3333333333333333
CENTRO DE TRAUMA ADULTO,Q72.8  OUTROS DEFEITOS POR REDUÇÃO DO(S) MEMBRO(S) INFERIOR(ES),9,9,0,0,0.0,19.0,2,0.2222222222222222
CENTRO DE TRAUMA ADULTO,Q72.9  DEFEITO NÃO ESPECIFICADO POR REDUÇÃO DO MEMBRO INFERIOR,1,1,0,0,0.0,67.0,0,0.0
CENTRO DE TRAUMA ADULTO,Q73.8  OUTROS DEFEITOS POR REDUÇÃO DE MEMBRO(S) NÃO ESPECIFICADO(S),1,1,0,0,0.0,8.0,0,0.0
CENTRO DE TRAUMA ADULTO,Q78.0  OSTEOGÊNESE IMPERFEITA,3,3,0,0,0.0,7.0,1,0.3333333333333333
CENTRO DE TRAUMA ADULTO,R48.0  DISLEXIA E ALEXIA,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,R52.0  DOR AGUDA,16,16,0,0,0.0,4.0,4,0.25
CENTRO DE TRAUMA ADULTO,R93.1  ACHADOS ANORMAIS DE EXAMES PARA DIAGNÓSTICO POR IMAGEM DO CORAÇÃO E DA CIRCULAÇÃO CORONARIANA,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,S02.3  FRATURA DO ASSOALHO ORBITAL,1,1,0,0,0.0,30.0,0,0.0
CENTRO DE TRAUMA ADULTO,S02.4  FRATURA DOS OSSOS MALARES E MAXILARES,2,2,0,0,0.0,11.0,1,0.5
CENTRO DE TRAUMA ADULTO,S02.6  FRATURA DE MANDÍBULA,4,4,0,0,0.0,13.5,1,0.25
CENTRO DE TRAUMA ADULTO,S02.8  OUTRAS FRATURAS DO CRÂNIO E DOS OSSOS DA FACE,1,1,0,0,0.0,42.0,0,0.0
CENTRO DE TRAUMA ADULTO,S14.3  TRAUMATISMO DO PLEXO BRAQUIAL,6,6,0,0,0.0,17.5,2,0.3333333333333333
CENTRO DE TRAUMA ADULTO,S22.1  FRATURAS MÚLTIPLAS DA COLUNA TORÁCICA,1,1,0,0,0.0,0.0,0,0.0
CENTRO DE TRAUMA ADULTO,S25.2  TRAUMATISMO DA VEIA CAVA SUPERIOR,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,S27.1  HEMOTÓRAX TRAUMÁTICO,1,1,0,0,0.0,17.0,0,0.0
CENTRO DE TRAUMA ADULTO,S32.0  FRATURA DE VÉRTEBRA LOMBAR,6,6,0,0,0.0,9.0,2,0.3333333333333333
CENTRO DE TRAUMA ADULTO,S32.1  FRATURA DO SACRO,18,18,0,0,0.0,15.5,5,0.2777777777777778
CENTRO DE TRAUMA ADULTO,S32.2  FRATURA DO CÓCCIX,1,1,0,0,0.0,10.0,0,0.0
CENTRO DE TRAUMA ADULTO,S32.3  FRATURA DO ÍLIO,9,9,0,0,0.0,14.0,2,0.2222222222222222
CENTRO DE TRAUMA ADULTO,S32.4  FRATURA DO ACETÁBULO,429,429,0,3,0.006993006993006993,11.0,104,0.2494172494172494
CENTRO DE TRAUMA ADULTO,S32.5  FRATURA DO PÚBIS,19,19,0,0,0.0,11.0,5,0.2631578947368421
CENTRO DE TRAUMA ADULTO,S32.7  FRATURAS MÚLTIPLAS DE COLUNA LOMBAR E DA PELVE,24,24,0,0,0.0,14.5,6,0.25
CENTRO DE TRAUMA ADULTO,S32.8  FRATURA DE OUTRAS PARTES DA COLUNA LOMBOSSACRA E DA PELVE E DE PARTES NÃO ESPECIFICADAS,24,24,0,0,0.0,13.0,6,0.25
CENTRO DE TRAUMA ADULTO,S33.2  LUXAÇÃO DAS ARTICULAÇÕES SACROILÍACA E SACROCOCCÍGEA,7,7,0,0,0.0,10.0,2,0.2857142857142857
CENTRO DE TRAUMA ADULTO,S33.3  LUXAÇÃO DE OUTRAS PARTES E DAS NÃO ESPECIFICADAS DA COLUNA LOMBAR E DA PELVE,3,3,0,0,0.0,10.0,1,0.3333333333333333
CENTRO DE TRAUMA ADULTO,S33.4  RUPTURA TRAUMÁTICA DA SÍNFISE PÚBICA,22,22,0,0,0.0,12.5,6,0.2727272727272727
CENTRO DE TRAUMA ADULTO,S37.8  TRAUMATISMO DE OUTROS ÓRGÃOS PÉLVICOS,2,2,0,0,0.0,12.0,1,0.5
CENTRO DE TRAUMA ADULTO,S37.9  TRAUMATISMO DE ÓRGÃO PÉLVICO NÃO ESPECIFICADO,1,1,0,0,0.0,10.0,0,0.0
CENTRO DE TRAUMA ADULTO,"S39.9  TRAUMATISMO NÃO ESPECIFICADO DO ABDOME, DO DORSO E DA PELVE",1,1,0,0,0.0,21.0,0,0.0
CENTRO DE TRAUMA ADULTO,S41.0  FERIMENTO DO OMBRO,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,S42.0  FRATURA DA CLAVÍCULA,107,107,0,0,0.0,3.0,23,0.21495327102803738
CENTRO DE TRAUMA ADULTO,S42.1  FRATURA DA OMOPLATA [ESCÁPULA],12,12,0,0,0.0,7.0,2,0.16666666666666666
CENTRO DE TRAUMA ADULTO,S42.2  FRATURA DA EXTREMIDADE SUPERIOR DO ÚMERO,247,247,0,0,0.0,6.0,62,0.25101214574898784
CENTRO DE TRAUMA ADULTO,S42.3  FRATURA DA DIÁFISE DO ÚMERO,223,223,0,0,0.0,5.0,52,0.23318385650224216
CENTRO DE TRAUMA ADULTO,S42.4  FRATURA DA EXTREMIDADE INFERIOR DO ÚMERO,60,60,0,1,0.016666666666666666,7.0,14,0.25
CENTRO DE TRAUMA ADULTO,"S42.7  FRATURAS MÚLTIPLAS DA CLAVÍCULA, DA OMOPLATA [ESCÁPULA] E DO ÚMERO",14,14,0,0,0.0,4.5,4,0.2857142857142857
CENTRO DE TRAUMA ADULTO,S42.8  FRATURA DE OUTRAS PARTES DO OMBRO E DO BRAÇO,9,9,0,0,0.0,5.0,2,0.2222222222222222
CENTRO DE TRAUMA ADULTO,"S42.9  FRATURA DA CINTURA ESCAPULAR, PARTE NÃO ESPECIFICADA",7,7,0,0,0.0,11.0,2,0.2857142857142857
CENTRO DE TRAUMA ADULTO,S43.0  LUXAÇÃO DA ARTICULAÇÃO DO OMBRO,5,5,0,0,0.0,6.0,0,0.0
CENTRO DE TRAUMA ADULTO,S43.1  LUXAÇÃO DA ARTICULAÇÃO ACROMIOCLAVICULAR,11,11,0,0,0.0,6.0,2,0.18181818181818182
CENTRO DE TRAUMA ADULTO,S44.2  TRAUMATISMO DO NERVO RADIAL AO NÍVEL DO BRAÇO,1,1,0,0,0.0,3.0,0,0.0
CENTRO DE TRAUMA ADULTO,S44.7  TRAUMATISMO DE MÚLTIPLOS NERVOS AO NÍVEL DO OMBRO E DO BRAÇO,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,S46.3  TRAUMATISMO DO MÚSCULO E TENDÃO DO TRÍCEPS,2,2,0,0,0.0,2.5,1,0.5
CENTRO DE TRAUMA ADULTO,S49.7  TRAUMATISMOS MÚLTIPLOS DO OMBRO E DO BRAÇO,2,2,0,0,0.0,5.0,1,0.5
CENTRO DE TRAUMA ADULTO,S50.0  CONTUSÃO DO COTOVELO,1,1,0,0,0.0,29.0,0,0.0
CENTRO DE TRAUMA ADULTO,S50.1  CONTUSÃO DE OUTRAS PARTES E DE PARTES NÃO ESPECIFICADAS DO ANTEBRAÇO,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,S51.7  FERIMENTOS MÚLTIPLOS DO ANTEBRAÇO,2,2,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,S51.8  FERIMENTO DE OUTRAS PARTES DO ANTEBRAÇO,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,S52.0  FRATURA DA EXTREMIDADE SUPERIOR DO CÚBITO [ULNA],76,76,0,0,0.0,5.0,15,0.19736842105263158
CENTRO DE TRAUMA ADULTO,S52.1  FRATURA DA EXTREMIDADE SUPERIOR DO RÁDIO,90,90,0,0,0.0,4.0,16,0.17777777777777778
